,0
0,0.3551008400655516
1,1.3500388713562266
2,1.0242173164690758
3,0.6831951206199346
4,0.7417388748764027
5,-0.43622708979974406
6,-0.979634530479116
7,1.3936089677578472
8,0.378505004867491
9,0.462480670016933
10,0.8501340497285907
11,1.1554903196529274
12,1.1409079128078854
13,-2.199231937069748
14,-0.15886042053790445
15,1.3534886450084127
16,1.1013634202847633
17,0.32195928308716687
18,-1.151207211963548
19,-1.146235111063578
20,0.24040261213928787
21,0.053876693533177686
22,0.3105392585167995
23,-2.431331539175395
24,-2.244822662241988
25,1.0442099426106952
26,0.45035768426319817
27,1.0109601635166683
28,1.2724185973585338
29,0.7825831969694448
30,-0.5760763899975025
31,0.36684846810857547
32,-0.8656421537037268
33,-0.13834030176059894
34,0.4374404218063013
35,1.172276119958441
36,0.3452497432231945
37,1.0783912064964039
38,1.15037771467886
39,0.7707209755339248
40,1.1539418559604235
41,1.2022344969531538
42,-0.24197049784418398
43,-0.26563054087876736
44,0.48103225791415233
45,-0.0413362706982278
46,2.0327665174874086
47,0.8078236867496237
48,0.3585056815027881
49,-0.6939434885006237
50,-1.4618101366005494
51,1.6930993241590986
52,0.2096456861224319
53,0.4392054371287785
54,-0.4051292724913546
55,-2.0196469048695844
56,1.0695648534611848
57,0.3291651463133564
58,0.5805789939427998
59,0.5909345770820913
60,0.31899468018142996
61,0.6166393295339874
62,0.5209989675368669
63,-1.0683900594109565
64,1.5469742465630247
65,1.2837615910490328
66,1.2550499513392088
67,0.7880780901957578
68,-2.499138402779723
69,-0.3676201822812126
70,0.5446699209067472
71,-0.4025820508515759
72,0.3046038192041901
73,-0.1429281116625485
74,0.39877314199428965
75,1.1485483398934062
76,-0.6929519837114647
77,0.5390779056153712
78,-0.5247312901922212
79,0.7001213161736201
80,0.59077089719894
81,0.767356985811358
82,0.8910244376397098
83,-0.06471849212029035
84,-0.07048409650434542
85,-0.7326737336247688
86,-1.5981213297795491
87,0.21667422855483515
88,1.2385995757068633
89,1.3448489635718226
90,0.336302277728919
91,1.1124761474441063
92,0.17276492279325747
93,-0.7417767886642915
94,0.09997184953368464
95,1.0552048207556284
96,-1.5817156603514892
97,-0.603062998623394
98,0.6263663013200386
99,0.527536801596205
100,0.1836732186127365
101,0.7555758326773638
102,1.1474283047320668
103,-1.1862457869560772
104,0.022391049451046335
105,0.12130786235996252
106,0.3643944622934491
107,0.4814315777050176
108,0.6534659733933553
109,1.0561695688857682
110,-0.029781543473619037
111,0.6896749207287731
112,-0.9078602060021208
113,0.4798058674874623
114,0.22866199443015972
115,-0.16601217838943208
116,-0.24457689179230274
117,0.022417212071866012
118,0.6031498520962926
119,0.23099683100315396
120,0.34350171028412413
121,0.02981789535981207
122,-0.0598100895604368
123,1.1829559657365407
124,1.1891672795357664
125,-0.26569133914531806
126,-2.4248501503378397
127,-0.20640325190720965
128,-1.5953225048874098
129,-0.0043616292559343515
130,-0.38509852208148676
131,-2.392743613316584
132,-0.27105073313994976
133,-1.0476977190342154
134,0.34019986665005864
135,0.672020898991723
136,-0.44050108224074513
137,0.1749126536757277
138,0.7646102419801275
139,-0.3621373728984687
140,0.7658228920877408
141,-0.3594559285423546
142,0.39575338470336524
143,1.091440181614296
144,0.8797561810016947
145,-0.9929611095220363
146,-0.7686482171987038
147,-1.2042165756934116
148,1.4698202590814642
149,-0.12828672365714394
150,-0.8724881065018091
151,0.1540437108799136
152,1.0995848708494607
153,-0.18739166301776464
154,0.4583111127634635
155,0.8095069853269592
156,-1.334505595866635
157,1.1837741804498036
158,0.770831941439116
159,-2.470736856005365
160,0.0012770742281277836
161,-1.023953384006339
162,0.2219157407224735
163,0.46928799242279673
164,-0.40348995461543025
165,-0.3616346827739572
166,1.1187465386264883
167,-0.31574611050991375
168,0.5301198976310191
169,0.30506903355857823
170,0.15002398798005237
171,0.7224636367196944
172,0.6644441189176534
173,0.4595650664049435
174,-0.3931610690692239
175,0.3507889473749306
176,0.0001183882973990618
177,-1.6636397629982564
178,-1.7147156004740183
179,0.28980295838185854
180,-0.009817235517627807
181,-1.6987567803327264
182,0.06187259413048446
183,0.2117578830646843
184,1.057584127858293
